,Experiment,Bar,min_row,min_col,max_row,max_col,Orientation,Width,Length,Bra_init_mean,Bra_init_std,Bra_final_mean,Bra_final_std,H2B_init_mean,H2B_init_std,H2B_final_mean,H2B_final_std,Ncells_init,Ncells_final,frame0
41,20240317,27,1316,1414,1533,1458,vertical,44,217,3854.626008968215,993.0989465585252,3327.019931229826,1287.2584504871566,11063.145639967752,2109.6191098223,13044.477840476093,3162.7859142460284,153.0,120.0,16.0
42,20240317,28,1317,974,1534,1018,vertical,44,217,3320.910075577806,952.8780424194148,2580.408962878062,1130.693384946698,10434.227427319678,2343.1489210314603,12899.547736836366,2586.4950875642194,111.0,79.0,16.0
43,20240317,29,1353,375,1527,419,vertical,44,174,3501.154323758732,944.6055490337552,2159.0343061823937,900.6403871647925,10005.773231046038,1819.006542466382,10873.784310880164,1910.1851243125736,78.0,59.0,16.0
44,20240317,30,1357,1263,1531,1307,vertical,44,174,3828.232933013313,1130.0950564321547,3115.855003832818,1387.0029908104516,10592.200799079286,1648.661569620223,12635.017468475153,2841.536364667932,102.0,62.0,16.0
45,20240317,31,1358,822,1532,866,vertical,44,174,3573.442386570423,2155.057797366096,2641.362202745496,1140.119170435477,9698.48840398369,2321.350314140646,12342.320627127892,2241.040180253765,64.0,83.0,16.0
46,20240320,1,190,57,320,101,vertical,44,130,3995.954847765798,1474.5773034798326,4095.17949076259,1357.6150838377089,9674.3941450589,1819.7544746746528,11682.889194042098,2158.1570141744246,67.0,72.0,20.0
47,20240320,2,195,945,325,989,vertical,44,130,3442.976103757288,936.78701313149,3130.719739117118,1683.9284938632964,8734.303772468898,1737.9441586785083,11339.44212059246,2886.1058086748326,33.0,47.0,20.0
48,20240320,3,197,648,370,692,vertical,44,173,4040.642972390169,1812.2965235675367,2440.544767688998,974.2519722910944,10704.490058287747,2453.733362783806,10893.227827906294,2059.490246149453,105.0,88.0,20.0
49,20240320,4,197,801,327,845,vertical,44,130,3300.9241539696923,881.6691212303922,2640.391116843616,1081.466355403196,9405.48227577206,1989.0350041123315,12348.962601699142,2266.538745991971,53.0,64.0,20.0
50,20240320,5,198,208,371,252,vertical,44,173,4198.147379241035,1353.6039389465795,3789.454035010775,1822.0426321785085,10805.672428345244,1831.5137397851288,12579.638787037306,2442.4443927142465,118.0,127.0,20.0
51,20240320,6,199,499,329,543,vertical,44,130,3474.490605186959,1190.1728246889952,2494.5111468869363,1090.1802730972672,10756.97921789778,2086.064070179043,12344.916200938256,2605.5159326286066,109.0,91.0,20.0
52,20240320,7,201,361,331,405,vertical,44,130,3805.551496609956,1414.6058583837737,2053.71579176168,673.5192141357026,9976.37167004069,1792.0311068329106,9786.730882423832,1501.6348983043868,46.0,20.0,20.0
53,20240320,8,435,944,652,988,vertical,44,217,3348.5094376361626,1205.8199798047758,2083.8710100387607,877.1791568524407,9133.962418079216,2083.702019878278,10484.195758344287,2214.55045206377,85.0,73.0,20.0
54,20240320,9,437,56,654,100,vertical,44,217,2950.2428585915127,1049.3650804399124,2353.275434876669,1232.6958618222625,9023.214376065132,1730.587237192042,10811.13038644385,2678.042392048097,150.0,120.0,20.0
55,20240320,10,437,800,654,844,vertical,44,217,3498.325345788933,1335.878275081758,2310.428949090499,1270.161171648991,9155.642434216868,1961.8207244794187,10534.3554575068,2821.2410870088424,102.0,85.0,20.0
56,20240320,11,441,362,658,406,vertical,44,217,4531.916916573146,2433.60536912646,3123.3440260510224,1600.218216293899,10666.477016527942,2463.442773127885,12772.160483645166,2638.3964860535184,116.0,135.0,20.0
57,20240320,12,443,498,660,542,vertical,44,217,3259.095945179963,795.5536285721329,2517.8966998326755,1209.0696240101531,9303.35635961152,1546.275861572963,10465.981044193952,1996.334900755695,122.0,100.0,20.0
58,20240320,13,480,646,653,690,vertical,44,173,3969.842364363337,1389.5643399774358,3400.553621656564,1604.4097429284836,10816.522377583236,2043.9049854894276,11880.435454501792,2308.049360462407,143.0,145.0,20.0
