,alpha,L,beta_factor,rho0,poltime_mode,poltime_dscore
4807,15.0,3.746153846153846,1.5,0.4,90.0901,70.0701
4808,15.0,3.746153846153846,1.5,0.4,100.1001,80.0801
4809,15.0,3.746153846153846,1.5,0.4,65.0651,45.045
4810,15.0,3.746153846153846,1.5,0.4,150.1502,130.1301
4811,15.0,3.746153846153846,1.5,0.4,50.0501,30.03
4812,15.0,3.746153846153846,1.5,0.4,65.0651,45.045
4813,15.0,3.746153846153846,1.5,0.4,75.0751,50.0501
4814,15.0,3.746153846153846,1.5,0.4,85.0851,60.0601
4815,15.0,3.746153846153846,1.5,0.4,80.0801,55.0551
4816,15.0,3.746153846153846,1.5,0.4,60.0601,40.04
4817,15.0,3.746153846153846,1.5,0.4,85.0851,65.0651
4818,15.0,3.746153846153846,1.5,0.4,170.1702,150.1502
4819,15.0,3.746153846153846,1.5,0.4,95.0951,75.0751
4820,15.0,3.746153846153846,1.5,0.4,125.1251,105.1051
4821,15.0,3.746153846153846,1.5,0.4,190.1902,170.1702
4822,15.0,3.746153846153846,1.5,0.4,110.1101,90.0901
4823,15.0,3.746153846153846,1.5,0.4,100.1001,75.0751
4824,15.0,3.746153846153846,1.5,0.4,75.0751,55.0551
4825,15.0,3.746153846153846,1.5,0.4,130.1301,110.1101
4826,15.0,3.746153846153846,1.5,0.4,120.1201,100.1001
4827,15.0,3.746153846153846,1.5,0.4,110.1101,90.0901
4828,15.0,3.746153846153846,1.5,0.4,60.0601,40.04
4829,15.0,3.746153846153846,1.5,0.4,65.0651,45.045
4830,15.0,3.746153846153846,1.5,0.4,70.0701,50.0501
4831,15.0,3.746153846153846,1.5,0.4,60.0601,40.04
4832,15.0,3.746153846153846,1.5,0.4,115.1151,95.0951
4833,15.0,3.746153846153846,1.5,0.4,85.0851,65.0651
4834,15.0,3.746153846153846,1.5,0.4,65.0651,45.045
4835,15.0,3.746153846153846,1.5,0.4,135.1351,115.1151
4836,15.0,3.746153846153846,1.5,0.4,70.0701,50.0501
4837,15.0,3.746153846153846,1.5,0.4,110.1101,85.0851
4838,15.0,3.746153846153846,1.5,0.4,75.0751,55.0551
4839,15.0,3.746153846153846,1.5,0.4,115.1151,95.0951
4840,15.0,3.746153846153846,1.5,0.4,155.1552,135.1351
4841,15.0,3.746153846153846,1.5,0.4,80.0801,55.0551
4842,15.0,3.746153846153846,1.5,0.4,60.0601,40.04
4843,15.0,3.746153846153846,1.5,0.4,80.0801,55.0551
4844,15.0,3.746153846153846,1.5,0.4,90.0901,70.0701
4845,15.0,3.746153846153846,1.5,0.4,95.0951,75.0751
4846,15.0,3.746153846153846,1.5,0.4,120.1201,100.1001
4847,15.0,3.746153846153846,1.5,0.4,60.0601,40.04
4848,15.0,3.746153846153846,1.5,0.4,85.0851,65.0651
4849,15.0,3.746153846153846,1.5,0.4,85.0851,65.0651
4850,15.0,3.746153846153846,1.5,0.4,100.1001,80.0801
4851,15.0,3.746153846153846,1.5,0.4,65.0651,45.045
4852,15.0,3.746153846153846,1.5,0.4,60.0601,40.04
4853,15.0,3.746153846153846,1.5,0.4,90.0901,70.0701
4854,15.0,3.746153846153846,1.5,0.4,75.0751,55.0551
4855,15.0,3.746153846153846,1.5,0.4,80.0801,60.0601
4856,15.0,3.746153846153846,1.5,0.4,70.0701,50.0501
4857,15.0,3.746153846153846,1.5,0.4,60.0601,40.04
4858,15.0,3.746153846153846,1.5,0.4,140.1401,120.1201
4859,15.0,3.746153846153846,1.5,0.4,135.1351,115.1151
4860,15.0,3.746153846153846,1.5,0.4,115.1151,95.0951
4861,15.0,3.746153846153846,1.5,0.4,65.0651,45.045
4862,15.0,3.746153846153846,1.5,0.4,80.0801,60.0601
4863,15.0,3.746153846153846,1.5,0.4,90.0901,70.0701
4864,15.0,3.746153846153846,1.5,0.4,85.0851,60.0601
4865,15.0,3.746153846153846,1.5,0.4,75.0751,55.0551
4866,15.0,3.746153846153846,1.5,0.4,120.1201,100.1001
4867,15.0,3.746153846153846,1.5,0.4,105.1051,85.0851
4868,15.0,3.746153846153846,1.5,0.4,80.0801,60.0601
4869,15.0,3.746153846153846,1.5,0.4,145.1451,125.1251
4870,15.0,3.746153846153846,1.5,0.4,75.0751,55.0551
4871,15.0,3.746153846153846,1.5,0.4,90.0901,70.0701
4872,15.0,3.746153846153846,1.5,0.4,65.0651,45.045
4873,15.0,3.746153846153846,1.5,0.4,180.1802,160.1602
4874,15.0,3.746153846153846,1.5,0.4,150.1502,130.1301
4875,15.0,3.746153846153846,1.5,0.4,80.0801,60.0601
4876,15.0,3.746153846153846,1.5,0.4,100.1001,80.0801
4877,15.0,3.746153846153846,1.5,0.4,105.1051,85.0851
4878,15.0,3.746153846153846,1.5,0.4,65.0651,45.045
4879,15.0,3.746153846153846,1.5,0.4,70.0701,45.045
4880,15.0,3.746153846153846,1.5,0.4,95.0951,75.0751
