,Unnamed: 0,t,dominant_mode,dscore,amplitude,is_polarized_mode,is_polarized_dscore,pattern_group,alpha,L,beta_factor,rho0
141838,4,2.4242424242424243,0.5,0.9382910522276228,0.9428006634925388,True,True,1,20.0,3.1724137931034484,1.0,0.4
141871,4,2.4242424242424243,1.25,0.2516923279280245,0.9543316211557288,False,False,3,20.0,3.1724137931034484,1.0,0.4
141904,4,2.4242424242424243,1.0,0.2152664935754817,0.95351647029946,False,False,2,20.0,3.1724137931034484,1.0,0.4
141937,4,2.4242424242424243,0.5,0.9414284174936004,0.9607628658777309,True,True,1,20.0,3.1724137931034484,1.0,0.4
141970,4,2.4242424242424243,1.0,0.2469124019640803,0.9536131968495908,False,False,2,20.0,3.1724137931034484,1.0,0.4
142003,4,2.4242424242424243,1.0,0.1382962406464348,0.9520537475790236,False,False,2,20.0,3.1724137931034484,1.0,0.4
142036,4,2.4242424242424243,0.5,0.8853305565999715,0.981025895846505,True,True,1,20.0,3.1724137931034484,1.0,0.4
142069,4,2.4242424242424243,1.25,0.1742147830123656,0.9455868348823392,False,False,3,20.0,3.1724137931034484,1.0,0.4
142102,4,2.4242424242424243,1.25,0.5088337850995507,0.9645347393722136,False,True,3,20.0,3.1724137931034484,1.0,0.4
142135,4,2.4242424242424243,1.25,0.5518274322811505,0.969839278355629,False,True,3,20.0,3.1724137931034484,1.0,0.4
142168,4,2.4242424242424243,1.0,0.2155898660584377,0.9521504646782172,False,False,2,20.0,3.1724137931034484,1.0,0.4
142201,4,2.4242424242424243,1.0,0.0404984343214351,0.9495954769487904,False,False,2,20.0,3.1724137931034484,1.0,0.4
142234,4,2.4242424242424243,0.5,0.714526286970046,0.94881857871859,True,True,1,20.0,3.1724137931034484,1.0,0.4
142267,4,2.4242424242424243,0.5,0.685236850679045,0.949472195214746,True,True,1,20.0,3.1724137931034484,1.0,0.4
142300,4,2.4242424242424243,0.5,0.6486932216224686,0.9721683448878436,True,True,1,20.0,3.1724137931034484,1.0,0.4
