,alpha,L,beta_factor,rho0,poltime_mode_mean,poltime_mode_std,poltime_mode_count,poltime_dscore_mean,poltime_dscore_std,poltime_dscore_count
52,15.0,4.151282051282051,0.8,0.4,43.693683,20.3068457151225,100,30.180166,19.98783812328059,100
53,15.0,4.151282051282051,1.5,0.4,217.46747,62.00190971277913,100,169.26926899999998,62.20565578364943,100
54,15.0,4.3538461538461535,0.5,0.4,165.51551200000003,55.829794892201676,100,119.619627,55.66750420800317,100
55,15.0,4.3538461538461535,0.8,0.4,63.363375999999995,23.283130959412556,100,42.342331,23.328738007872143,100
56,15.0,4.3538461538461535,1.0,0.4,25.475468,25.292506024168542,100,13.613607,21.71843248478612,100
57,15.0,4.3538461538461535,1.2,0.4,147.998004,56.76911708187952,100,117.267273,56.72898829747736,100
58,15.0,4.3538461538461535,1.5,0.4,351.55156300000004,106.02222573759744,100,278.92893100000003,105.6653943022924,100
59,15.0,4.556410256410256,0.8,0.4,90.740751,37.35698337427904,100,58.85886000000001,37.244831486955576,100
60,15.0,4.556410256410256,1.0,0.4,47.247237999999996,50.759480422122074,100,29.279276,46.203463485104876,100
61,15.0,4.556410256410256,1.2,0.4,208.25825799999998,84.177362661782,100,162.212215,83.91302501079734,100
62,15.0,4.758974358974359,0.5,0.4,318.768771,100.09680420459786,100,218.968971,100.1440124959498,100
63,15.0,4.758974358974359,0.8,0.4,134.08409,55.60290141778449,100,86.78678900000001,55.96091292577561,100
64,15.0,4.758974358974359,1.0,0.4,66.166163,75.75978834653947,100,39.539537,69.68079568268618,100
65,15.0,4.758974358974359,1.2,0.4,332.682687,143.07849186992374,100,264.06405900000004,143.09204412535075,100
66,15.0,4.758974358974359,1.5,0.4,846.396399,311.31238596869105,100,685.135137,311.189622905568,100
67,15.0,4.961538461538462,0.5,0.4,466.966967,132.66720459441274,100,323.123128,132.69547108418794,100
68,15.0,4.961538461538462,0.8,0.4,200.60060399999998,91.05580687014705,100,131.681682,90.4648125569099,100
69,15.0,4.961538461538462,1.0,0.4,101.451445,112.15439589355631,100,60.16016,103.71277833886658,100
70,15.0,4.961538461538462,1.2,0.4,499.849851,223.7058565034679,100,398.698699,223.52658134661235,100
71,15.0,4.961538461538462,1.5,0.4,1237.987991,427.2556914816359,100,1000.600605,427.33699857230255,100
72,15.0,5.164102564102564,0.5,0.4,702.502507,234.34076470131572,100,494.3944,234.26307567976832,100
73,15.0,5.164102564102564,0.8,0.4,298.948953,129.81446814037943,100,198.04805199999998,129.7626086362125,100
74,15.0,5.164102564102564,1.0,0.4,142.042043,116.70494952428588,100,77.477478,103.39635311969099,100
75,15.0,5.164102564102564,1.2,0.4,703.9539530000001,289.91294857643965,100,556.1061080000001,289.96052876238065,100
76,15.0,5.366666666666666,0.5,0.4,963.613612,305.7624105708417,100,665.365365,305.2442316722664,100
77,15.0,5.366666666666666,1.0,0.4,180.03003,167.74021679302194,100,92.442439,144.50036097645022,100
78,15.0,5.366666666666666,1.2,0.4,1019.36937,466.3857289321079,100,805.4554499999999,466.2735222256269,100
79,15.0,5.569230769230769,0.5,0.4,1289.089086,417.1840307394329,100,862.962966,417.0905352020336,100
80,15.0,5.569230769230769,0.8,0.4,505.855862,200.50236257742768,100,296.196205,200.07424944850925,100
81,15.0,5.569230769230769,1.0,0.4,305.95596,301.7558495754017,100,174.424421,278.36287934878374,100
82,15.0,5.569230769230769,1.2,0.4,1464.6146170000002,699.73683210528,100,1158.55856,698.2308515186863,100
83,15.0,5.771794871794872,0.5,0.4,1930.38038,619.2993398126057,100,1326.0260250000001,619.530193237219,100
84,15.0,5.771794871794872,0.8,0.4,745.996002,369.9386030759237,100,446.896903,368.8864577833946,100
85,15.0,5.771794871794872,1.0,0.4,476.17617700000005,582.8641710029914,100,282.882884,555.5386977165033,100
86,15.0,5.974358974358975,0.8,0.4,960.160165,462.27836374842514,100,536.886891,459.8808289130551,100
87,15.0,6.176923076923076,0.8,0.4,1313.3133129999999,732.1124311428935,100,729.27928,715.8376010377668,100
88,15.0,6.176923076923076,1.0,0.4,1012.312308,968.7433487126028,100,615.215214,896.824390800004,100
89,15.0,6.379487179487179,0.8,0.4,1667.017023,917.8677633530721,100,859.2592549999999,884.8920292135198,100
90,15.0,6.582051282051282,1.0,0.4,1407.8078099999998,1178.1643553312358,100,715.615617,1005.032274037068,100
91,20.0,1.3153846153846156,1.0,0.4,8.708701,7.135821782939775,100,,,0
92,20.0,1.3153846153846156,1.2,0.4,6.906899999999999,4.430016917449514,100,16.802500000000002,5.177526436436611,56
93,20.0,1.3153846153846156,1.5,0.4,17.967950000000002,6.081984619897248,100,,,0
